ProteinID,ProteinGroupID,PROTINFER(ID_24332),PROTINFER(ID_24331),PROTINFER(ID_24330),PROTINFER(ID_24329),Fasta ID,CommonName,Mol.Wt.,pI,NumSeq,#Seq(ID_24332),#Ion(ID_24332),#U.Ion(ID_24332),SC(ID_24332),SC_Norm(ID_24332),#Seq(ID_24331),#Ion(ID_24331),#U.Ion(ID_24331),SC(ID_24331),SC_Norm(ID_24331),#Seq(ID_24330),#Ion(ID_24330),#U.Ion(ID_24330),SC(ID_24330),SC_Norm(ID_24330),#Seq(ID_24329),#Ion(ID_24329),#U.Ion(ID_24329),SC(ID_24329),SC_Norm(ID_24329)
24069107,975,-,-,*,*,GL50803_16318,,220482.44,4.69,35,0,0,0,0,0,0,0,0,0,0,35,36,36,98,98,1,1,1,3,8
24065314,475,*,*,*,*,GL50803_10311,,36437.19,6.6,34,19,26,26,100,114,13,16,16,72,334,31,45,45,231,231,14,23,23,112,282
24069634,574,*,*,*,*,GL50803_9593,,109217.16,5.18,34,34,41,41,122,139,3,3,3,6,28,22,24,24,54,54,4,4,4,8,20
24067864,784,*,*,*,*,GL50803_27925,,87609.31,5.55,34,15,16,16,36,41,8,8,8,24,111,30,37,37,106,106,14,14,14,41,103
534640,1143,*,*,*,*,sp|K1C10_HUMAN|,KRT10,59518.66,5.13,34,27,35,29,113,129,22,29,22,163,757,22,23,19,69,69,23,31,24,164,413
24066688,1500,*,*,*,*,GL50803_96732,,383733.1,6.74,34,34,36,36,83,95,3,3,3,3,14,12,12,12,21,21,3,3,3,4,10
24065609,659,*,*,*,*,GL50803_11654,,33889.83,6.27,33,30,47,31,330,376,13,15,13,54,251,31,48,31,305,305,13,15,11,55,138
24069617,677,*,*,*,*,GL50803_137617,,75502.96,5.68,33,17,18,9,28,32,28,36,24,127,590,12,13,7,17,17,28,36,24,125,315
24069483,1390,*,*,*,*,GL50803_103373,,42910.44,8.81,33,28,34,4,186,212,7,7,1,26,121,32,42,6,303,303,11,11,2,34,86
24070199,1484,*,*,*,*,GL50803_23833,,87504.34,6.07,33,30,41,41,120,137,8,8,8,14,65,28,33,33,76,76,13,13,13,27,68
24070275,1737,*,*,*,*,GL50803_13864,,36990.15,5.01,33,24,30,30,76,87,7,7,7,22,102,29,36,36,112,112,10,11,11,37,93
24024994,60,*,*,*,*,GL50803_86511,,106725.52,6.45,32,9,9,7,15,17,4,4,3,7,33,31,35,27,79,79,12,13,12,34,86
24063039,547,*,*,*,*,GL50803_9861,,42712.26,9.68,32,27,37,35,114,130,12,15,14,56,260,29,41,39,120,120,17,21,20,90,227
24068921,713,*,*,*,*,GL50803_114787,,32972.85,6.97,32,28,38,8,212,242,10,10,4,49,228,31,45,8,314,314,12,12,4,45,113
24070462,894,*,*,*,*,GL50803_9719,,47004.07,7.94,32,32,48,48,186,212,4,4,4,12,56,28,42,42,146,146,10,10,10,30,76
24066412,510,*,*,*,*,GL50803_137618,,88660.58,5.74,31,22,25,2,48,55,23,29,1,114,529,19,22,4,39,39,24,30,3,111,280
24066779,724,*,*,*,*,GL50803_11953,,139327.66,6.7,31,29,30,29,88,100,5,5,5,8,37,25,25,25,56,56,7,7,7,14,35
24065659,750,*,*,*,*,GL50803_17230,,35632.37,6.48,31,29,40,40,153,175,8,8,8,25,116,28,36,36,126,126,8,8,8,22,55
3137085,893,*,*,*,*,sp|K1C9_HUMAN|,KRT9,62129.44,5.19,31,23,27,26,78,89,21,24,23,95,441,14,15,15,42,42,18,21,19,85,214
24065023,970,*,*,*,*,GL50803_113722,,425812.34,5.95,31,28,28,28,51,58,1,1,1,1,5,15,15,15,20,20,1,1,1,1,3
24070338,1320,*,*,*,*,GL50803_86676,,33657.15,6.28,31,29,46,46,191,218,6,6,6,14,65,25,36,36,117,117,6,6,6,13,33
24065503,1214,*,*,*,*,GL50803_8496,,23902.42,8.12,30,30,47,47,271,309,6,6,6,9,42,23,37,37,189,189,7,7,7,22,55
24069838,1629,*,*,*,*,GL50803_6226,,104850.25,6.41,30,17,19,19,43,49,10,10,10,33,153,27,30,30,87,87,13,14,14,43,108
24065262,10,*,*,*,*,GL50803_101074,,76763.95,5.33,29,17,21,4,34,39,24,28,6,112,520,13,15,4,21,21,25,30,9,103,259
24070035,653,*,*,*,*,GL50803_15054,,166164.58,5.46,29,20,20,20,35,40,5,5,5,7,33,23,23,23,41,41,9,9,9,14,35
24069899,1660,*,*,*,*,GL50803_16125,,118853.61,7.99,29,7,8,8,14,16,6,6,6,15,70,26,28,28,65,65,9,9,9,24,60
24062040,1803,*,*,*,*,GL50803_32999,,51467.44,4.67,29,26,31,31,85,97,7,7,7,12,56,16,18,18,38,38,8,8,8,12,30
24065726,234,*,*,*,*,GL50803_88082,,114878.62,6.25,28,25,29,29,68,78,3,3,3,6,28,21,22,22,51,51,4,4,4,8,20
24064754,1374,*,*,*,*,GL50803_7796,,33935.73,6.11,28,26,39,23,158,180,4,5,3,11,51,27,38,21,159,159,7,8,4,24,60
24061925,1625,*,*,*,*,GL50803_15591,,186026.16,4.61,28,21,22,22,42,48,5,5,5,9,42,24,25,25,50,50,10,10,10,20,50
24069766,166,*,*g,*,*,GL50803_114626,,177866.14,5.48,27,18,18,3,25,29,1,1,1,1,5,24,24,5,47,47,2,2,1,3,8
24063522,783,*,*,*,*,GL50803_9515,,150345.36,6.75,27,19,19,19,38,43,1,1,1,2,9,19,19,19,33,33,5,5,5,7,18
24067038,878,*,*,*,*,GL50803_16525,,42642.46,10.09,27,19,20,20,42,48,10,10,10,23,107,24,31,31,73,73,12,13,13,50,126
24067285,1437,*,*,*,*,GL50803_16412,,94797.69,5.88,27,7,7,7,11,13,9,9,9,20,93,19,19,19,63,63,15,15,15,46,116
24069460,1630,*,*,*,*,GL50803_16353,,83652.78,5.33,27,26,36,36,172,196,4,4,4,6,28,19,20,20,81,81,5,5,5,11,28
24063608,212,*,*,*,*,GL50803_5603,,105260.83,5.34,26,25,27,27,57,65,4,4,4,7,33,9,9,9,17,17,3,3,3,7,18
24067483,472,*,*,*,*,GL50803_13922,,113874.85,7.74,26,25,30,30,105,120,2,2,2,4,19,23,25,25,88,88,6,6,6,11,28
24003857,621,*,*,*,*,GL50803_114776,,89604.16,6.7,26,21,25,15,61,70,3,3,1,6,28,23,25,12,73,73,5,5,2,17,43
24069907,986,*,-,*,*,GL50803_21411,,221780.69,8.14,26,18,18,17,36,41,0,0,0,0,0,23,24,23,55,55,5,5,5,6,15
24049849,1145,*,*,*,*,GL50803_12102,,45216.53,6.05,26,17,20,20,51,58,9,12,12,29,135,23,27,27,95,95,13,17,17,45,113
24068763,1668,*,*,*,*,GL50803_6687,,36335.84,6.88,26,15,18,18,55,63,9,10,10,30,139,26,37,37,166,166,10,13,13,51,128
24066850,380,*,*,*,*,"GL50803_115478,GL50803_115479",,80162.09,4.91,25,17,19,19,45,51,3,3,3,9,42,21,24,24,49,49,11,11,11,25,63
24067119,394,*,*,*,*,GL50803_15567,,23748.72,5.57,25,23,32,32,174,198,3,3,3,5,23,25,32,32,136,136,5,5,5,9,23
24067404,885,*,=,*,=,GL50803_112846,,120516.45,5.52,25,25,29,18,60,68,1,1,0,1,5,10,10,4,17,17,1,1,0,2,5
24067125,391,*,-,*,*,GL50803_17476,,224252.16,5.1,24,14,14,14,18,21,0,0,0,0,0,22,22,22,35,35,2,2,2,2,5
24069217,436,*,*,*,*,GL50803_13475,,236334.11,4.85,24,16,18,18,31,35,12,12,12,36,167,21,22,22,41,41,14,17,17,53,133
24062398,1102,*,*,*,*,GL50803_32778,,64206.69,6.4,24,15,17,15,33,38,6,6,5,11,51,21,23,20,50,50,12,12,9,21,53
24042258,1154,*,*,*,*,GL50803_11118,,48219.97,5.46,24,13,14,14,39,44,5,6,6,16,74,21,31,31,113,113,7,10,10,43,108
24064977,1319,*,*,*,*,GL50803_13608,,78100.6,8.42,24,9,9,9,21,24,3,3,3,6,28,21,24,24,72,72,12,12,12,41,103
24064957,1349,*,-,*,*,GL50803_32509,,116182.5,5.79,24,21,21,21,44,50,0,0,0,0,0,17,17,17,31,31,3,3,3,3,8
24069868,1556,*,*,*,*,GL50803_101278,,149774.52,6.47,24,9,9,9,11,13,4,4,4,6,28,22,25,25,65,65,12,12,12,39,98
24070508,330,*,*g,*,*,GL50803_113531,,178048.22,5.79,23,15,15,1,25,29,1,1,1,1,5,21,21,1,44,44,2,2,1,3,8
24067123,386,*,*,*,*,GL50803_21942,,49733.94,7.99,23,10,10,10,20,23,9,9,9,38,176,20,24,24,75,75,12,13,13,60,151
24065699,855,*,*,*,*,GL50803_11043,,35213.72,6.19,23,11,12,11,31,35,9,10,9,33,153,23,27,25,100,100,11,13,12,57,144
24069929,992,*,-,*,-,GL50803_111950,,570319.1,5.28,23,20,22,21,30,34,0,0,0,0,0,13,14,14,20,20,0,0,0,0,0
24066522,1122,*,-,*,-,GL50803_10778,,111964.22,6.23,23,18,23,23,57,65,0,0,0,0,0,22,29,29,88,88,0,0,0,0,0
24070306,1334,*,*,*,*,GL50803_14200,,68614.92,8.58,23,23,25,25,63,72,2,2,2,8,37,14,16,16,36,36,3,3,3,7,18
24062046,1796,*,*,*,*,GL50803_13584,,43636.48,4.92,23,10,10,10,21,24,10,10,10,27,125,18,20,20,57,57,10,10,10,37,93
24057350,1818,*,*,*,*,GL50803_10521,,70294.97,6.48,23,19,23,23,64,73,4,4,4,5,23,22,27,27,86,86,9,10,10,25,63
24063972,613,*,-,*,*,GL50803_93275,,315364.53,6.03,22,21,23,23,45,51,0,0,0,0,0,14,14,14,26,26,3,3,3,3,8
24063882,1025,*,-,*,*,GL50803_16425,,116475.31,5.95,22,19,20,20,42,48,0,0,0,0,0,15,15,15,29,29,2,2,2,2,5
24069477,1383,*,*,*,*,GL50803_14859,,102710.47,5.21,22,5,5,5,9,10,5,5,5,6,28,18,19,19,59,59,12,12,12,16,40
24064321,1615,*,*,*,*,GL50803_5795,,85450.23,5.48,22,17,21,21,47,54,1,1,1,3,14,22,28,28,63,63,4,4,4,8,20
24069898,1661,*,*,*,*,GL50803_98054,,43437.78,5.51,22,20,26,26,79,90,7,7,7,25,116,21,27,27,100,100,12,14,14,51,128
24067637,1666,*,*,*,*,GL50803_16667,,99472.13,5.86,22,4,4,2,6,7,3,3,2,6,28,22,23,15,48,48,4,4,3,16,40
24067601,1890,*,*,*,*,GL50803_4410,,29827.66,5.37,22,22,27,27,98,112,4,4,4,11,51,16,20,20,60,60,7,7,7,20,50
24068557,556,*,*,*,*,GL50803_6430,,28576.26,5.09,21,13,17,16,46,52,10,13,12,46,214,16,21,20,82,82,15,20,19,78,196
24068922,714,*,*,*,*,GL50803_15106,,127678.03,4.73,21,21,23,23,60,68,4,4,4,8,37,17,17,17,35,35,5,5,5,9,23
24068975,840,*,*,*,*,GL50803_14856,,62711.5,6.02,21,20,25,25,82,94,1,1,1,2,9,13,14,14,23,23,2,2,2,2,5
24069490,1379,*,*,*,*,GL50803_9030,,36635.43,5.08,21,16,17,17,48,55,8,9,9,30,139,18,21,21,65,65,12,15,15,61,154
24064311,1582,*,*,*,*,GL50803_15411,,78005.9,4.6,21,15,21,21,59,67,5,5,5,12,56,20,23,23,70,70,7,7,7,20,50
24065178,1859,*,-,*,*,GL50803_16592,,252461.4,7.84,21,16,16,16,21,24,0,0,0,0,0,12,14,14,18,18,2,2,2,2,5
24068594,619,*,*,*,*,"GL50803_136021,GL50803_101291,GL50803_136020",,50049.56,4.77,20,16,17,17,55,63,4,4,4,16,74,20,25,25,137,137,9,10,10,34,86
24063970,626,*,*,*,*,GL50803_11390,,85184.27,4.45,20,20,26,25,99,113,3,3,3,7,33,18,24,23,92,92,4,4,4,13,33
24062796,664,*,*,*,*,GL50803_11992,,61193.18,5.55,20,8,8,8,10,11,5,5,5,11,51,18,18,18,39,39,10,10,10,31,78
24062700,816,*,*,*,*,GL50803_15213,,69973.14,7.27,20,19,26,26,83,95,1,1,1,2,9,18,23,23,69,69,3,3,3,7,18
24066708,907,*,-,*,-,GL50803_101138,,578219.9,5.21,20,18,18,18,28,32,0,0,0,0,0,11,11,11,15,15,0,0,0,0,0
24069565,1100,*,-,*,-,GL50803_91480,,187771.48,6.14,20,20,21,21,47,54,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0
24067753,1171,*,*,*,*,GL50803_12108,,104035.55,6.08,20,8,8,8,11,13,4,4,4,6,28,16,17,17,35,35,9,9,9,21,53
24063794,1224,*,*,*,*,GL50803_16453,,33879.19,8.02,20,13,16,16,53,60,8,10,10,40,186,17,26,26,112,112,14,19,19,74,186
23995929,1344,*,*,*,*,GL50803_8855,,104090.21,4.51,20,19,22,22,53,60,3,3,3,10,46,14,15,15,29,29,2,2,2,5,13
24062458,1523,*,-,*,*,GL50803_94287,,158314.53,5.66,20,15,15,15,35,40,0,0,0,0,0,12,12,12,18,18,3,3,3,7,18
24062947,1735,*,*,*,*,GL50803_17327,,49672.49,5.22,20,18,27,27,185,211,6,6,6,32,149,18,26,26,153,153,7,8,8,29,73
24070273,1745,*,*,*,*,GL50803_9808,,45109.4,7.84,20,20,28,28,94,107,4,4,4,8,37,14,19,19,67,67,4,4,4,12,30
24068711,1760,*,*,*,*,GL50803_113319,,265708.8,6.16,20,20,20,9,31,35,1,1,1,1,5,5,5,2,6,6,1,1,1,2,5
24063969,524,*,*,*,*,GL50803_15409,,57009.88,4.91,19,15,19,19,71,81,6,8,8,26,121,18,26,26,114,114,11,14,14,48,121
24069697,555,*,*,*,*,GL50803_17547,,34987.62,10.53,19,16,18,18,51,58,5,5,5,22,102,19,21,21,66,66,7,7,7,36,91
24068906,760,*,*,*,*,GL50803_32658,,120264.33,7.22,19,10,11,11,38,43,1,1,1,1,5,17,18,18,56,56,4,4,4,6,15
24067405,883,*,*,*,*,GL50803_102101,,114615.49,5.34,19,18,19,8,40,46,4,4,3,5,23,11,11,5,19,19,2,2,1,3,8
24064980,906,*,*,*,*,"GL50803_112079,GL50803_103676",,50552.26,4.98,19,14,17,17,61,70,6,6,6,16,74,18,25,25,116,116,8,9,9,45,113
24069900,987,*,*,*,*,GL50803_16124,,64752.98,7.5,19,8,9,9,14,16,4,4,4,7,33,17,19,19,37,37,6,6,6,11,28
24063887,1032,*,*,*,*,GL50803_90872,,43601.51,7.02,19,7,9,9,21,24,4,5,5,8,37,18,24,24,77,77,7,8,8,28,71
24068860,1148,*,*,*,*,GL50803_14285,,61500.45,6.44,19,4,4,4,8,9,7,7,7,16,74,14,19,19,72,72,11,11,11,39,98
24064740,1388,*,*,*,*,GL50803_10885,,195870.86,6.04,19,8,8,8,14,16,7,7,7,12,56,11,11,11,17,17,14,14,14,35,88
24069026,1530,*,-,*,-,GL50803_7188,,115621.49,7.33,19,14,14,14,36,41,0,0,0,0,0,18,19,19,53,53,0,0,0,0,0
24062960,1864,*,*,*,*,GL50803_33769,,53336.28,6.14,19,12,15,15,40,46,11,13,13,33,153,15,21,21,79,79,13,17,17,73,184
23994303,1933,*,*,*,*,GL50803_14620,,28027.95,10.1,19,16,18,18,56,64,7,7,7,17,79,19,23,23,90,90,6,6,6,24,60
24069753,176,*,-,*,*,GL50803_7439,,71768.96,6.03,18,11,13,13,30,34,0,0,0,0,0,18,22,22,49,49,2,2,2,6,15
24070500,315,*,*,*,*,GL50803_21444,,66085.2,4.96,18,4,4,4,5,6,4,4,4,6,28,16,16,16,27,27,10,10,10,21,53
24065334,502,*,*,*,*,GL50803_137753,,163212.5,6.07,18,11,12,12,21,24,6,6,6,10,46,13,15,15,23,23,3,3,3,6,15
24063069,576,*,*,*,*,GL50803_10577,,55387.4,9.28,18,14,16,16,39,44,4,4,4,8,37,17,18,18,34,34,3,3,3,7,18
24069650,610,*,*,*,*,GL50803_21423,,122832.15,5.28,18,13,16,16,38,43,1,1,1,1,5,17,19,19,44,44,5,5,5,10,25
24063506,741,*,*,*,*,GL50803_96670,,147963.81,7.52,18,16,16,16,34,39,4,4,4,5,23,15,15,15,30,30,2,2,2,5,13
24068512,767,*,*,*,*,GL50803_17153,,35010.74,5.74,18,15,21,21,64,73,8,10,10,30,139,17,24,24,94,94,10,13,13,46,116
24067351,947,*,-,*,-,GL50803_103454,,79408.49,6.69,18,12,12,9,27,31,0,0,0,0,0,18,19,13,50,50,0,0,0,0,0
24062884,1322,*,*,*,*,GL50803_15214,,35474.48,5.28,18,12,12,11,33,38,1,1,1,2,9,13,13,13,33,33,3,3,3,7,18
24021108,1814,*,*,*,*,GL50803_24842,,201475.94,6.3,18,18,19,18,33,38,2,2,2,4,19,11,12,11,17,17,3,3,3,6,15
24063176,156,*,*,*,*,GL50803_101810,,159456.3,8.91,17,15,17,17,42,48,1,1,1,3,14,12,13,13,33,33,2,2,2,6,15
24062596,168,*,*,*,*,GL50803_113133,,95363.73,5.64,17,6,6,6,12,14,1,1,1,3,14,16,16,16,38,38,4,4,4,7,18
24070107,295,*,*,*,*,GL50803_9751,,39656.27,5.98,17,17,20,20,75,86,2,2,2,5,23,15,17,17,55,55,6,6,6,10,25
24066893,314,*,*,*,*,GL50803_9780,,26556.11,4.85,17,16,21,21,116,132,2,2,2,3,14,14,18,18,72,72,3,3,3,6,15
24067176,319,*,-,*,-,GL50803_16507,,98638.72,5.3,17,13,15,15,46,52,0,0,0,0,0,16,19,19,57,57,0,0,0,0,0
24067549,335,*,*,*,*,GL50803_9779,,34283.21,6.41,17,10,10,10,24,27,8,8,8,27,125,16,19,19,59,59,12,12,12,42,106
24067112,397,*,*,*,*,GL50803_16824,,90576.2,6.24,17,12,13,13,34,39,4,4,4,6,28,16,18,17,40,40,7,7,7,16,40
24065361,415,*,*,*,*,GL50803_6617,,63217.63,6.34,17,16,21,21,70,80,2,2,2,6,28,14,17,17,57,57,3,3,3,11,28
24067461,496,*,*,*,*,GL50803_15383,,27657.25,6.52,17,12,14,7,32,37,7,9,4,26,121,16,22,13,86,86,10,12,6,45,113
24067091,773,-,-,*,*,GL50803_11309,,140404.88,5.08,17,0,0,0,0,0,0,0,0,0,0,17,18,18,37,37,2,2,2,4,10
24063869,990,*,*,*,*,GL50803_17395,,33895.23,9.91,17,11,12,12,26,30,3,3,3,5,23,16,18,18,42,42,8,8,8,20,50
24070347,1164,*,*,*,*,GL50803_15832,,56680.88,5.69,17,12,12,12,28,32,5,5,5,7,33,14,15,15,37,37,8,8,8,20,50
24064744,1387,*,*,*,*,GL50803_17243,,163242.42,6.05,17,12,12,12,17,19,1,1,1,1,5,12,12,12,17,17,5,5,5,9,23
24069035,1563,*,-,*,*,GL50803_15048,,73379.23,8.04,17,1,1,1,1,1,0,0,0,0,0,15,15,14,30,30,6,6,6,10,25
24062992,1797,*,*,*,*,GL50803_16636,,24594.77,5.43,17,17,24,24,168,192,4,5,5,13,60,13,16,16,65,65,5,6,6,13,33
24064846,1908,*,*,*,*,GL50803_17244,,25382.64,9.89,17,12,15,12,26,30,7,7,6,19,88,15,20,15,46,46,9,10,9,21,53
24064724,340,*,*,*,*,GL50803_9704,,77564.34,6.34,16,8,8,8,13,15,4,4,4,10,46,16,18,18,51,51,6,6,6,26,65
24066869,343,*,*,*,*,GL50803_113021,,148195.03,6.08,16,9,9,9,12,14,9,9,9,14,65,4,4,4,5,5,10,10,10,20,50
24064716,373,*,*,*,*,GL50803_12150,,58324,7.1,16,4,4,4,8,9,7,7,7,11,51,14,16,16,43,43,9,10,10,29,73
24064139,493,*,*,*,*,GL50803_17411,,61559.59,6.27,16,10,11,11,25,29,6,6,6,12,56,12,13,13,36,36,9,9,9,29,73
24066414,512,*,-,*,*,GL50803_101212,,192210.69,8.28,16,13,14,14,26,30,0,0,0,0,0,11,14,14,23,23,1,1,1,2,5
24067070,720,*,*,*,*,GL50803_12216,,54746.76,6.13,16,12,13,13,33,38,2,2,2,3,14,16,18,18,46,46,2,2,2,3,8
24070417,769,*,*,*,*,GL50803_17060,,66235.95,6.29,16,3,3,3,5,6,3,3,3,10,46,16,20,20,43,43,6,7,7,20,50
23989880,995,*,*,*,*,GL50803_5359,,69051.48,9.18,16,11,11,11,25,29,5,5,5,10,46,11,11,11,27,27,5,5,5,11,28
24063823,1066,*,*,*,*,GL50803_7999,,24738.03,9.38,16,10,11,11,35,40,4,4,4,14,65,15,17,17,61,61,9,9,9,25,63
24066538,1098,*,*,*,*,GL50803_21943,,17103.37,6.09,16,16,17,17,62,71,1,1,1,5,23,13,13,13,36,36,2,2,2,5,13
24068882,1188,*,-,*,*,GL50803_33660,,103966.99,5.07,16,15,18,18,30,34,0,0,0,0,0,10,10,10,16,16,1,1,1,2,5
23997641,1527,*,*,*,*,GL50803_112681,,90659.58,7.83,16,10,11,1,33,38,3,3,1,8,37,16,17,4,56,56,4,4,1,13,33
24013920,1566,*,*,*,*,GL50803_17254,,73929.72,5.35,16,7,7,7,10,11,2,2,2,4,19,12,12,12,37,37,9,9,9,21,53
